Date,Low,Open,Volume,High,Close
1/2/2019,782.01,782.01,"65,082",804.76,803.24
1/3/2019,793,799.96,"31,482",824.1,811.96
1/4/2019,819.76,819.76,"29,815",837.39,834.48
1/7/2019,828.13,834.47,"48,782",850.44,843.93
1/8/2019,845.41,845.99,"27,320",856.85,856.85
1/9/2019,835.85,856.82,"17,442",857,839.43
1/10/2019,834.04,837.23,"12,333",845.71,845.71
1/11/2019,840.21,843.81,"21,477",854.99,854.54
1/14/2019,846,851.49,"25,084",853.67,851.25
1/15/2019,834.51,853.19,"24,109",853.94,845.12
1/16/2019,829.25,845.6,"24,972",848.4,847.04
1/17/2019,828.75,844.19,"32,957",850.67,840.74
1/18/2019,841,846.4,"19,140",851.49,850.58
1/22/2019,837.1,857.67,"44,994",864.71,847.74
1/23/2019,834.63,854.56,"37,223",869.31,852.26
1/24/2019,848.8,848.8,"12,767",861.78,858.15
1/25/2019,854.5,863.43,"17,059",871.52,864.75
1/28/2019,854.91,861.01,"40,720",875.15,867.8
1/29/2019,866.14,868.85,"12,712",877.97,870.81
1/30/2019,850.49,874.64,"19,479",874.64,856.73
1/31/2019,850.99,856.45,"55,538",885.08,884.34
2/1/2019,877,884.31,"30,716",896.2,893.09
2/4/2019,888.81,895.16,"30,692",902.87,895.6
2/5/2019,886.21,900,"23,057",902.64,901.58
2/6/2019,893.2,900.55,"45,394",910.99,904.84
2/7/2019,898.38,902.07,"23,630",912.54,911.32
2/8/2019,902.8,909.14,"33,108",918.8,915
2/11/2019,895.27,918.01,"52,794",918.62,901.77
2/12/2019,898.38,905.58,"29,838",909.9,906.51
2/13/2019,899.68,907.93,"35,093",907.93,900.92
2/14/2019,899.13,899.13,"28,165",919.85,915.01
2/15/2019,915.04,915.91,"74,665",935.24,932.94
2/19/2019,929.35,932.94,"21,384",945.39,932.04
2/20/2019,927.7,929.97,"34,813",945.7,944.06
2/21/2019,940.47,943.99,"52,734",963.63,960.99
2/22/2019,956.73,963,"43,562",967,961.11
2/25/2019,944.2,963.55,"32,415",965,962.41
2/26/2019,954.99,960.93,"23,690",966.06,959.92
2/27/2019,954.17,959.19,"28,969",970,964.61
2/28/2019,934.12,954,"55,539",956.9,948.99
3/1/2019,935.27,954.19,"62,561",965.09,948.35
3/4/2019,932.4,950.52,"53,052",952.4,951.04
3/5/2019,939.62,951.11,"56,968",952.46,945.99
3/6/2019,924.9,947.78,"54,497",951.56,927.58
3/7/2019,923.73,925.85,"67,726",940.38,928.7
3/8/2019,910.95,925.37,"64,594",926.03,920.19
3/11/2019,913.66,920,"55,972",933.61,925.71
3/12/2019,924.92,925.47,"48,079",934.8,934.46
3/13/2019,935.01,940,"68,452",944.62,939.76
3/14/2019,933.31,936.34,"59,281",944.26,943.82
3/15/2019,942.31,943,"82,302",952.15,947.1
3/18/2019,927,946.75,"75,935",946.75,940.02
3/19/2019,934.85,944.51,"72,364",944.97,942.96
3/20/2019,934.09,941.97,"56,941",947.93,938.01
3/21/2019,937.5,937.5,"64,745",950.08,941.83
3/22/2019,944.95,944.95,"71,930",967.98,960.43
3/25/2019,951.38,957.01,"53,849",965.47,960
3/26/2019,964.21,966.79,"65,092",976.4,976.32
3/27/2019,973.05,979.02,"40,466",981.89,980.61
3/28/2019,974.1,981.5,"33,986",988.9,985.99
3/29/2019,974.03,989.41,"29,499",989.41,981.38
4/1/2019,983.18,991,"70,309","1,001.04",997.62
4/2/2019,986,999.47,"72,437","1,004.64",999.06
4/3/2019,984.33,"1,001.00","61,886","1,006.00",988.72
4/4/2019,980.73,991.46,"67,268","1,002.28",993.38
4/5/2019,995.66,996.36,"37,461","1,006.72","1,003.36"
4/8/2019,"1,000.31","1,003.35","73,642","1,013.00","1,011.19"
4/9/2019,999.91,"1,009.71","51,981","1,016.93","1,011.11"
4/10/2019,"1,012.39","1,013.60","48,407","1,026.00","1,019.19"
4/11/2019,"1,010.82","1,021.62","79,572","1,030.52","1,025.61"
4/12/2019,"1,013.53","1,031.00","66,819","1,031.00","1,016.85"
4/15/2019,"1,014.00","1,018.24","60,818","1,031.05","1,020.94"
4/16/2019,"1,017.61","1,022.36","46,116","1,031.11","1,023.83"
4/17/2019,"1,017.62","1,025.60","69,701","1,033.26","1,025.15"
4/18/2019,"1,012.00","1,028.67","59,770","1,032.10","1,025.19"
4/22/2019,"1,021.42","1,022.03","70,847","1,037.80","1,024.16"
4/23/2019,"1,019.67","1,024.27","57,912","1,030.41","1,020.85"
4/24/2019,"1,013.81","1,021.00","22,319","1,021.40","1,019.14"
4/25/2019,"1,009.34","1,022.73","43,651","1,030.00","1,021.16"
4/26/2019,"1,021.55","1,021.55","53,239","1,040.90","1,033.37"
4/29/2019,"1,033.72","1,034.55","54,770","1,051.69","1,043.81"
4/30/2019,"1,045.06","1,045.07","76,099","1,064.69","1,060.53"
5/1/2019,"1,044.71","1,059.55","85,034","1,075.50","1,045.69"
5/2/2019,"1,039.07","1,044.54","74,439","1,055.37","1,053.62"
5/3/2019,"1,055.30","1,057.04","90,632","1,081.29","1,081.23"
5/6/2019,"1,070.11","1,074.10","93,333","1,081.31","1,080.75"
5/7/2019,"1,061.04","1,074.82","58,586","1,084.47","1,080.29"
5/8/2019,"1,080.43","1,080.43","125,631","1,101.97","1,091.01"
5/9/2019,"1,083.30","1,086.25","121,813","1,108.18","1,099.77"
5/10/2019,"1,056.68","1,093.98","70,531","1,104.15","1,090.44"
5/13/2019,"1,067.51","1,079.03","63,984","1,084.35","1,076.26"
5/14/2019,"1,079.63","1,079.63","54,394","1,115.26","1,105.80"
5/15/2019,"1,100.08","1,100.08","94,066","1,120.34","1,111.43"
5/16/2019,"1,112.19","1,112.19","36,778","1,128.96","1,127.78"
5/17/2019,"1,122.82","1,122.82","80,684","1,146.32","1,139.38"
5/20/2019,"1,124.90","1,135.12","123,635","1,136.53","1,126.05"
5/21/2019,"1,122.43","1,128.99","34,319","1,144.91","1,140.46"
5/22/2019,"1,131.84","1,137.58","47,416","1,147.48","1,138.56"
5/23/2019,"1,129.07","1,131.77","70,594","1,142.42","1,139.29"
5/24/2019,"1,127.30","1,141.39","54,626","1,142.01","1,127.30"
5/28/2019,"1,123.06","1,128.38","82,595","1,147.99","1,139.40"
5/29/2019,"1,110.40","1,135.25","60,283","1,135.25","1,121.27"
5/30/2019,"1,113.65","1,123.15","44,466","1,138.61","1,128.55"
5/31/2019,"1,112.31","1,119.85","52,399","1,124.82","1,117.05"
6/3/2019,"1,114.68","1,115.00","61,496","1,133.69","1,127.79"
6/4/2019,"1,134.75","1,138.00","43,298","1,153.90","1,150.18"
6/5/2019,"1,152.50","1,152.50","54,159","1,170.81","1,166.22"
6/6/2019,"1,166.11","1,166.22","36,356","1,180.27","1,177.95"
6/7/2019,"1,170.10","1,177.89","28,099","1,192.79","1,182.88"
6/10/2019,"1,150.68","1,184.05","52,221","1,184.05","1,167.04"
6/11/2019,"1,158.29","1,168.81","56,238","1,172.75","1,164.00"
6/12/2019,"1,154.90","1,162.37","34,366","1,168.83","1,162.92"
6/13/2019,"1,137.26","1,165.95","63,777","1,165.95","1,143.79"
6/14/2019,"1,128.26","1,140.81","96,859","1,147.65","1,140.95"
6/17/2019,"1,130.94","1,137.37","60,027","1,166.03","1,160.00"
6/18/2019,"1,148.99","1,164.75","48,472","1,176.79","1,152.44"
6/19/2019,"1,140.46","1,152.37","81,472","1,165.80","1,162.69"
6/20/2019,"1,160.15","1,163.86","58,553","1,173.90","1,166.48"
6/21/2019,"1,148.50","1,163.00","91,880","1,166.73","1,154.99"
6/24/2019,"1,136.91","1,157.04","45,618","1,158.20","1,140.26"
6/25/2019,"1,125.39","1,139.79","88,205","1,147.34","1,129.56"
6/26/2019,"1,106.58","1,132.21","50,232","1,132.21","1,110.49"
6/27/2019,"1,110.70","1,113.00","93,271","1,146.20","1,143.49"
6/28/2019,"1,146.64","1,150.35","91,468","1,176.00","1,170.99"
7/1/2019,"1,167.63","1,173.00","66,997","1,190.43","1,180.94"
7/2/2019,"1,182.88","1,182.88","53,849","1,196.24","1,196.24"
7/3/2019,"1,199.61","1,201.52","28,911","1,216.78","1,203.85"
7/5/2019,"1,190.67","1,200.73","85,940","1,218.66","1,218.64"
7/8/2019,"1,211.00","1,215.95","48,447","1,221.00","1,214.29"
7/9/2019,"1,202.89","1,209.93","92,156","1,219.00","1,217.95"
7/10/2019,"1,212.77","1,220.49","34,542","1,225.00","1,218.70"
7/11/2019,"1,215.47","1,222.46","66,095","1,230.90","1,217.57"
7/12/2019,"1,214.51","1,219.25","40,369","1,236.50","1,231.52"
7/15/2019,"1,224.01","1,229.40","14,097","1,243.86","1,231.34"
7/16/2019,"1,220.17","1,231.16","26,508","1,232.35","1,224.05"
7/17/2019,"1,211.11","1,223.08","27,811","1,228.10","1,222.75"
7/18/2019,"1,213.18","1,213.18","29,981","1,221.31","1,216.25"
7/19/2019,"1,205.20","1,218.30","63,496","1,238.67","1,210.18"
7/22/2019,"1,201.97","1,212.70","81,621","1,218.45","1,202.51"
7/23/2019,"1,185.49","1,205.50","33,025","1,207.03","1,192.71"
7/24/2019,"1,175.60","1,191.84","36,382","1,209.16","1,209.16"
7/25/2019,"1,202.45","1,209.07","51,698","1,224.45","1,219.03"
7/26/2019,"1,208.84","1,219.46","38,178","1,222.01","1,218.22"
7/29/2019,"1,212.57","1,218.86","66,061","1,232.19","1,216.36"
7/30/2019,"1,214.23","1,215.70","44,928","1,241.78","1,232.14"
7/31/2019,"1,210.77","1,235.05","40,246","1,244.78","1,216.80"
8/1/2019,"1,205.90","1,214.31","52,006","1,231.04","1,205.96"
8/2/2019,"1,180.52","1,202.00","53,246","1,208.08","1,191.71"
8/5/2019,"1,162.40","1,178.95","58,878","1,181.90","1,168.58"
8/6/2019,"1,169.68","1,172.55","59,479","1,217.73","1,214.92"
8/7/2019,"1,191.89","1,210.09","58,607","1,216.50","1,201.03"
8/8/2019,"1,156.25","1,156.25","131,782","1,268.11","1,255.71"
8/9/2019,"1,254.13","1,254.13","50,712","1,271.15","1,260.01"
8/12/2019,"1,237.32","1,256.44","30,337","1,259.08","1,250.45"
8/13/2019,"1,247.39","1,247.70","61,262","1,262.00","1,261.41"
8/14/2019,"1,242.00","1,255.11","63,820","1,264.00","1,247.10"
8/15/2019,"1,238.79","1,246.80","44,737","1,257.39","1,242.42"
8/16/2019,"1,246.60","1,246.60","64,081","1,264.89","1,252.01"
8/19/2019,"1,251.98","1,256.21","72,287","1,266.99","1,257.86"
8/20/2019,"1,248.62","1,254.16","48,677","1,271.14","1,261.06"
8/21/2019,"1,250.10","1,263.89","50,188","1,273.91","1,270.52"
8/22/2019,"1,264.73","1,273.00","41,412","1,281.98","1,275.75"
8/23/2019,"1,248.56","1,275.43","37,668","1,289.25","1,249.13"
8/26/2019,"1,255.01","1,255.01","36,587","1,266.04","1,264.70"
8/27/2019,"1,271.80","1,272.47","42,793","1,290.73","1,277.74"
8/28/2019,"1,269.55","1,273.70","39,691","1,279.19","1,272.52"
8/29/2019,"1,273.98","1,284.50","26,810","1,291.07","1,288.66"
8/30/2019,"1,288.71","1,293.58","22,291","1,308.81","1,297.62"
9/3/2019,"1,285.05","1,288.96","61,494","1,309.11","1,299.27"
