Date,Low,Open,Volume,High,Close
1/2/2019,0.61,0.64,"7,741,367",0.68,0.68
1/3/2019,0.63,0.68,"3,419,339",0.69,0.68
1/4/2019,0.68,0.69,"4,241,270",0.71,0.7
1/7/2019,0.69,0.71,"3,393,115",0.73,0.7
1/8/2019,0.6,0.7,"4,237,629",0.71,0.64
1/9/2019,0.62,0.64,"1,548,346",0.69,0.67
1/10/2019,0.65,0.69,"2,334,985",0.7,0.69
1/11/2019,0.66,0.7,"1,977,902",0.73,0.7
1/14/2019,0.69,0.72,"2,110,849",0.73,0.71
1/15/2019,0.69,0.7,"1,407,542",0.72,0.71
1/16/2019,0.69,0.72,"1,561,591",0.72,0.7
1/17/2019,0.69,0.7,"979,460",0.71,0.7
1/18/2019,0.63,0.71,"1,971,168",0.71,0.66
1/22/2019,0.55,0.64,"2,947,003",0.66,0.64
1/23/2019,0.61,0.64,"1,710,501",0.7,0.67
1/24/2019,0.64,0.66,"1,064,256",0.69,0.67
1/25/2019,0.66,0.67,"1,917,027",0.69,0.69
1/28/2019,0.65,0.67,"1,883,289",0.68,0.66
1/29/2019,0.65,0.65,"1,160,338",0.68,0.67
1/30/2019,0.65,0.68,"851,711",0.68,0.67
1/31/2019,0.65,0.66,"927,253",0.69,0.66
2/1/2019,0.64,0.65,"2,080,613",0.67,0.64
2/4/2019,0.63,0.65,"1,223,295",0.66,0.64
2/5/2019,0.63,0.64,"988,830",0.65,0.63
2/6/2019,0.62,0.64,"731,685",0.65,0.62
2/7/2019,0.58,0.62,"1,842,247",0.64,0.59
2/8/2019,0.58,0.59,"2,131,522",0.6,0.58
2/11/2019,0.57,0.58,"1,003,154",0.6,0.58
2/12/2019,0.58,0.59,"1,334,924",0.6,0.58
2/13/2019,0.58,0.6,"878,666",0.6,0.58
2/14/2019,0.57,0.58,"1,770,551",0.61,0.6
2/15/2019,0.59,0.6,"2,330,513",0.66,0.64
2/19/2019,0.62,0.64,"1,895,885",0.67,0.67
2/20/2019,0.6,0.67,"2,401,608",0.67,0.63
2/21/2019,0.62,0.65,"1,063,114",0.65,0.64
2/22/2019,0.59,0.63,"3,045,736",0.65,0.59
2/25/2019,0.54,0.6,"4,673,207",0.61,0.55
2/26/2019,0.53,0.57,"2,917,331",0.57,0.54
2/27/2019,0.48,0.54,"6,073,754",0.54,0.5
2/28/2019,0.49,0.51,"12,193,420",0.54,0.5
3/1/2019,0.45,0.49,"5,670,892",0.52,0.46
3/4/2019,0.41,0.45,"9,729,935",0.5,0.42
3/5/2019,0.41,0.43,"6,390,371",0.46,0.45
