Date,Low,Open,Volume,High,Close
1/2/2019,62.43,62.75,"4,426,916",65.21,65.14
1/3/2019,63.99,64.43,"3,396,981",66.12,64.9
1/4/2019,65.43,65.76,"5,500,754",67.44,67.37
1/7/2019,66.89,67.25,"4,795,761",68.48,68.31
1/8/2019,67.25,68.54,"6,064,257",68.55,67.64
1/9/2019,67,68.52,"4,506,997",68.54,67.59
1/10/2019,67.1,67.32,"3,236,808",68.73,67.83
1/11/2019,67.28,67.7,"4,185,474",68.93,68.87
1/14/2019,67.3,68.28,"2,696,025",68.39,67.78
1/15/2019,66.58,67.68,"5,376,649",68.43,67.02
1/16/2019,66.26,67.39,"3,267,028",67.48,66.57
1/17/2019,65.52,66.6,"3,363,588",66.63,66.13
1/18/2019,66.25,66.99,"4,775,144",67.92,66.84
1/22/2019,66.08,66.63,"2,976,751",67.07,66.71
1/23/2019,66.45,66.68,"1,983,412",67.72,67.67
1/24/2019,67.1,67.59,"2,855,090",68.53,68.53
1/25/2019,68.07,68.8,"4,949,525",69.14,68.35
1/28/2019,66.94,67.74,"2,963,587",68.36,67.49
1/29/2019,66.51,67.53,"2,344,399",67.81,67.65
1/30/2019,66.97,67.61,"2,322,630",68.56,68.19
1/31/2019,67.9,68.28,"5,827,074",69.99,69.49
2/1/2019,68.95,69.33,"3,123,671",69.65,69.5
2/4/2019,68.75,69.28,"1,929,797",69.5,69.28
2/5/2019,66.68,69.57,"5,010,442",69.57,66.73
2/6/2019,66.42,66.68,"4,342,565",67.17,66.82
2/7/2019,65.44,67.87,"7,568,606",68.33,68.15
2/8/2019,66.83,67.51,"4,137,105",68.34,68.25
2/11/2019,67.87,68.04,"2,649,105",69.05,68.31
2/12/2019,68.37,68.87,"2,635,596",69.54,69.47
2/13/2019,68.73,69.48,"4,751,185",69.83,68.94
2/14/2019,68.88,68.97,"3,206,242",70.39,70.37
2/15/2019,70.3,70.52,"5,721,877",71.94,71.92
2/19/2019,71.63,71.88,"3,679,558",72.72,72.39
2/20/2019,72.04,72.33,"4,485,144",72.94,72.62
2/21/2019,72.26,72.44,"4,569,675",73.62,73.27
2/22/2019,72.84,73.66,"2,526,938",73.92,73.06
2/25/2019,72.49,73.23,"2,404,813",73.39,72.91
2/26/2019,71.12,71.31,"2,920,838",72.83,72.4
2/27/2019,71.64,72,"2,747,910",72.4,71.99
2/28/2019,71.79,71.95,"3,078,264",72.57,72.08
3/1/2019,71.64,72.26,"1,887,119",72.47,72.21
3/4/2019,71.15,72.11,"2,443,883",72.21,71.52
3/5/2019,71.15,71.62,"1,728,809",71.85,71.28
3/6/2019,69.86,71.28,"4,383,481",71.47,70.65
3/7/2019,70.39,70.49,"2,313,564",71.25,71.19
3/8/2019,70.05,70.8,"3,580,113",71.12,70.52
3/11/2019,70.28,70.7,"2,497,705",71.45,71.34
3/12/2019,71.12,71.34,"2,778,322",72,71.57
3/13/2019,71.55,71.99,"1,924,316",72.35,72.12
3/14/2019,71.81,72.12,"1,656,382",72.31,72.21
3/15/2019,71.97,72.63,"2,811,411",73.36,73.32
3/18/2019,72.82,73.14,"2,950,768",73.77,73.54
3/19/2019,72.28,73.86,"4,195,894",73.92,72.46
3/20/2019,71.88,72.67,"3,142,063",72.79,71.93
3/21/2019,71.86,71.95,"2,333,468",72.61,72.13
3/22/2019,71.68,71.8,"3,271,991",72.34,71.77
3/25/2019,71.51,71.72,"1,976,008",72.28,72.18
3/26/2019,72.24,72.45,"2,862,470",73.22,73.2
3/27/2019,71.83,73.25,"4,998,909",73.65,72.11
3/28/2019,68.79,71.85,"5,877,421",72.12,69.02
3/29/2019,68.03,69.2,"5,061,218",69.36,68.97
4/1/2019,69.14,69.41,"3,815,409",69.91,69.84
4/2/2019,69.09,69.68,"3,920,516",70.03,69.6
4/3/2019,68.57,69.69,"3,083,220",69.89,68.87
4/4/2019,68.87,68.95,"3,042,742",70,69.92
4/5/2019,69.92,70.35,"3,489,567",70.62,70.22
4/8/2019,69.64,70.01,"4,042,986",71.11,71.1
4/9/2019,70.14,70.83,"2,872,158",71.53,71.29
4/10/2019,71.06,71.42,"2,634,753",72.2,72.03
4/11/2019,71.71,72.02,"2,540,436",72.88,72.86
4/12/2019,72.74,73.05,"2,863,998",73.74,73.57
4/15/2019,73.05,73.57,"2,198,530",73.72,73.65
4/16/2019,73.38,73.86,"2,839,708",74.13,73.96
4/17/2019,71.17,72.59,"7,590,070",74.17,72.33
4/18/2019,72.44,73.08,"2,751,904",73.64,73.61
4/22/2019,72.88,73.62,"1,915,906",73.72,73.58
4/23/2019,72.91,73.42,"2,184,424",73.86,73.61
4/24/2019,72.59,73.25,"2,378,016",73.73,73.19
4/25/2019,72.38,72.57,"3,371,993",73.45,72.58
4/26/2019,72.46,74.59,"3,568,522",74.59,72.79
4/29/2019,72.37,72.81,"2,636,154",73.68,73.46
4/30/2019,72.42,73.33,"3,070,612",73.6,72.86
5/1/2019,72.9,73,"2,946,528",73.97,73.44
5/2/2019,72.53,73.64,"2,273,521",73.81,73.47
5/3/2019,73.26,73.57,"2,593,592",74.64,74.6
5/6/2019,73.2,73.74,"1,879,183",74.37,74.32
5/7/2019,73.4,73.66,"2,599,626",74.31,73.86
5/8/2019,72.35,73.82,"2,854,486",73.82,72.5
5/9/2019,72.12,72.17,"3,325,900",74.26,74.11
5/10/2019,73.4,73.86,"3,366,726",75.18,75.09
5/13/2019,73.11,74.24,"3,483,547",74.6,73.28
5/14/2019,72.9,73.28,"2,992,676",73.73,73.46
5/15/2019,72.91,73.23,"3,805,286",74.64,74.49
5/16/2019,74.11,74.34,"4,955,584",76.99,75.24
5/17/2019,74.88,75.25,"3,625,683",76.18,75.23
5/20/2019,75.58,79.72,"20,139,938",80.78,78.15
5/21/2019,76.64,78.02,"6,350,732",78.15,77.01
5/22/2019,76,76.35,"3,293,374",76.99,76.21
5/23/2019,75.11,76.12,"3,894,157",76.86,75.87
5/24/2019,75.49,76.36,"3,586,181",77.31,77.13
5/28/2019,75.75,77.41,"5,401,302",77.84,75.77
5/29/2019,75.15,75.68,"3,547,667",76.51,75.99
5/30/2019,74.88,75.9,"4,119,508",76.43,75.89
5/31/2019,73.14,74.67,"5,157,312",75.11,73.3
6/3/2019,73.23,73.48,"2,946,472",74.5,74.06
6/4/2019,74.38,74.49,"3,150,502",75.6,75.55
6/5/2019,75.53,75.8,"1,974,240",76.41,76.15
6/6/2019,74.47,76,"2,675,996",76.3,75.81
6/7/2019,76.17,76.41,"2,260,782",77,76.89
6/10/2019,76.24,76.92,"3,101,740",77.24,76.53
6/11/2019,74.49,76.99,"3,829,574",77.32,75.32
6/12/2019,74.51,75.69,"3,302,721",75.76,75.24
6/13/2019,73.87,75.03,"4,287,908",75.14,74.31
6/14/2019,74.14,74.53,"4,822,470",77.86,74.76
6/17/2019,74.4,74.94,"2,934,425",75.29,75.13
6/18/2019,75.41,75.8,"5,005,154",76.98,76.3
6/19/2019,76.2,76.2,"3,384,215",78.35,78.14
6/20/2019,77.01,78.96,"3,345,648",79.11,77.79
6/21/2019,75.06,77.57,"5,233,595",77.61,75.56
6/24/2019,75.24,75.88,"2,126,916",76.41,75.4
6/25/2019,74.31,75.33,"2,598,705",75.36,74.44
6/26/2019,72.63,74.14,"4,401,400",74.26,72.9
6/27/2019,72.79,73.31,"2,323,861",73.58,73.15
6/28/2019,72.77,73.15,"4,125,438",74.35,74
7/1/2019,73.78,74.53,"2,234,598",74.53,74.01
7/2/2019,73.78,74.26,"2,877,044",75.64,75.34
7/3/2019,75.46,75.75,"2,084,795",76.89,75.68
7/5/2019,75.49,75.69,"1,320,985",76.29,76.09
7/8/2019,75.29,76.23,"1,670,418",76.25,75.49
7/9/2019,74.94,75.21,"3,559,553",75.68,75.01
7/10/2019,77.43,77.82,"14,467,988",78.8,78.48
7/11/2019,76.81,78.58,"10,127,508",78.73,78.12
7/12/2019,77.87,78.06,"63,185,278",79.58,79.3
7/15/2019,78.44,79.52,"6,201,286",79.85,79.16
7/16/2019,78.68,79.2,"5,244,620",79.44,78.89
7/17/2019,78.75,79.08,"3,244,345",79.31,78.78
7/18/2019,77.13,78.63,"6,483,680",78.92,77.83
7/19/2019,76.79,77.85,"5,321,701",77.85,77.29
7/22/2019,77.13,77.66,"4,703,912",78.51,77.52
7/23/2019,76.81,77.6,"3,514,325",78.02,78
7/24/2019,78.68,79.05,"10,217,321",81.42,80.46
7/25/2019,79.56,81.21,"5,511,995",81.26,79.76
7/26/2019,80.8,80.95,"12,356,053",85.06,84.09
7/29/2019,81.77,84.47,"5,869,702",84.63,82.23
7/30/2019,80.87,81.55,"5,294,811",82.18,81.15
7/31/2019,78.8,81.07,"4,605,118",81.5,79.58
8/1/2019,78.62,79.84,"4,770,181",80.16,79.16
8/2/2019,76.65,79.24,"5,438,060",79.24,77.59
8/5/2019,75.48,76.71,"4,053,736",76.79,76.05
8/6/2019,75.83,76.37,"4,017,833",77.18,77.14
8/7/2019,75.13,76.35,"3,499,175",76.66,76.34
8/8/2019,76.69,76.8,"3,029,039",77.92,77.76
8/9/2019,76.87,77.46,"2,703,627",78.07,77.38
8/12/2019,76.63,76.93,"1,891,687",77.47,76.8
8/13/2019,76.64,76.79,"2,564,514",78.12,77.48
8/14/2019,75.97,76.63,"2,906,129",77.24,76.79
8/15/2019,76.06,76.33,"2,602,499",77.66,77.13
8/16/2019,77.32,77.85,"3,164,876",78.11,77.61
8/19/2019,77.58,78.12,"1,700,435",78.35,78.09
8/20/2019,77.5,77.84,"1,859,405",78.1,77.54
8/21/2019,77.63,77.93,"1,223,754",78.17,78.04
8/22/2019,77.37,78.17,"2,014,589",78.28,77.65
8/23/2019,75.98,77.5,"2,890,894",78.11,76.34
