Date,Low,Open,Volume,High,Close
1/2/2019,50.63,51.45,"185,362",52.47,52.47
1/3/2019,51.64,52.12,"179,162",53.45,52.92
1/4/2019,53.47,53.47,"170,155",55.38,55.13
1/7/2019,55.09,55.09,"243,628",57.07,56.57
1/8/2019,56,57.05,"145,192",57.05,56.78
1/9/2019,56.12,57.25,"129,171",57.29,56.7
1/10/2019,56.23,56.58,"72,802",57.57,57.38
1/11/2019,57.21,57.5,"95,215",58.3,58.17
1/14/2019,56.36,57.99,"201,168",58.32,56.57
1/15/2019,56.62,56.76,"121,406",57.53,57.36
1/16/2019,57.03,57.51,"206,746",58.48,57.41
1/17/2019,56.69,57.32,"239,021",57.55,57.07
1/18/2019,57.17,57.46,"68,326",58.03,57.54
1/22/2019,56.93,57.49,"188,557",58.29,57.73
1/23/2019,57.37,58.17,"129,719",58.79,58.6
1/24/2019,57.91,58.63,"188,253",59.11,59.06
1/25/2019,57.76,58.86,"136,012",59.74,57.89
1/28/2019,57.18,57.64,"103,706",58.45,57.49
1/29/2019,55.79,57.38,"169,014",57.65,56.01
1/30/2019,55.2,56.04,"122,660",56.39,56.09
1/31/2019,55.83,56.2,"187,211",57.72,57.58
2/1/2019,56.92,57.56,"111,240",58.37,57.1
2/4/2019,56.56,57.06,"104,812",57.31,56.83
2/5/2019,55.57,57,"111,340",57,55.65
2/6/2019,54.49,55.62,"119,869",55.7,54.68
2/7/2019,54.11,54.54,"249,124",54.84,54.84
2/8/2019,53.68,54.52,"172,494",55.18,55.13
2/11/2019,54.66,55.25,"85,351",55.64,54.81
2/12/2019,54.98,55.42,"145,616",56.1,55.64
2/13/2019,54.3,55.64,"124,542",55.8,54.57
2/14/2019,53.93,54.46,"181,821",55.36,55.12
2/15/2019,55.27,55.32,"134,433",56.26,56.09
2/19/2019,55.5,55.86,"211,121",56.57,56.42
2/20/2019,56.09,56.52,"122,540",56.98,56.63
2/21/2019,55.45,56.71,"188,452",56.71,55.91
2/22/2019,48.81,57.72,"791,145",57.72,49.1
2/25/2019,47.18,48.99,"525,497",49.6,47.81
2/26/2019,45.56,47.51,"438,555",47.85,46.34
2/27/2019,46.03,46.03,"340,324",46.64,46.59
2/28/2019,46.12,46.62,"374,846",46.9,46.69
3/1/2019,46.37,46.7,"276,594",47.29,47.09
3/4/2019,46.02,46.83,"230,275",47,46.68
3/5/2019,46.11,46.53,"126,260",46.59,46.18
3/6/2019,45.11,46.09,"236,301",46.14,45.6
3/7/2019,45.21,45.42,"212,487",46.34,45.98
3/8/2019,45.48,45.9,"124,565",46.09,45.59
3/11/2019,45.71,45.71,"176,343",47.05,46.89
3/12/2019,46.92,46.93,"221,717",48.03,47.28
3/13/2019,46.79,47.4,"164,254",48.12,46.88
3/14/2019,46.53,46.89,"118,031",47.12,47.02
3/15/2019,46.89,47.17,"279,939",47.46,47.18
3/18/2019,47.17,47.17,"197,821",48.1,48.01
3/19/2019,47.25,48.24,"183,263",48.59,47.4
3/20/2019,46.98,47.42,"196,769",47.79,47.04
3/21/2019,46.5,47,"209,215",48,47.28
3/22/2019,46.37,46.96,"143,708",47.16,46.71
3/25/2019,46.61,46.82,"213,845",47.61,47.54
3/26/2019,46.99,47.7,"178,983",48.23,47.42
3/27/2019,46.25,47.13,"294,042",47.34,46.25
3/28/2019,45.3,46.4,"214,918",46.72,45.69
3/29/2019,45.2,45.85,"287,294",46.13,45.91
4/1/2019,46.16,46.22,"149,378",46.59,46.43
4/2/2019,45.86,46.43,"275,920",46.59,46.11
4/3/2019,46.26,46.35,"860,562",47.39,46.91
4/4/2019,46.81,46.99,"303,059",47.95,47.79
4/5/2019,47.02,47.66,"232,430",48.15,47.15
4/8/2019,46.06,46.9,"176,686",47.22,46.92
4/9/2019,46.56,46.62,"166,817",47.35,46.94
4/10/2019,46.76,47.18,"134,347",48.12,47.83
4/11/2019,47.08,47.73,"129,208",47.73,47.39
4/12/2019,46.63,47.5,"110,554",47.63,46.69
4/15/2019,46.5,46.51,"132,960",47.23,46.71
4/16/2019,46.75,46.79,"124,947",47.33,47.09
4/17/2019,45.1,47,"265,107",47.19,45.41
4/18/2019,45.18,45.6,"231,854",47.11,46.92
4/22/2019,46.56,46.67,"685,682",50.07,49.79
4/23/2019,48.24,49.66,"640,410",50.03,49.96
4/24/2019,47.55,50,"560,025",50,47.68
4/25/2019,47.49,47.7,"430,877",50.79,49.29
4/26/2019,47.32,48.93,"924,508",49.39,47.89
4/29/2019,47.71,47.99,"258,696",48.72,48.63
4/30/2019,47.56,48.69,"313,498",48.69,48.1
5/1/2019,48.03,48.24,"239,532",49.51,48.71
5/2/2019,47.59,48.42,"418,487",49.16,49.12
5/3/2019,47.91,47.91,"410,747",51.21,50.45
5/6/2019,47.26,49.71,"317,038",49.71,47.54
5/7/2019,46.87,47.41,"254,362",48.38,48.19
5/8/2019,47.32,48.19,"216,992",49.02,47.5
5/9/2019,47.26,47.33,"167,544",48.45,48.29
5/10/2019,46.89,47.99,"225,726",48.22,48.09
5/13/2019,44.91,47.25,"237,194",47.29,45.39
5/14/2019,45.09,45.3,"237,299",46.04,45.77
5/15/2019,45.11,45.29,"182,439",46.17,45.94
5/16/2019,45.59,46,"158,502",47.29,46.19
5/17/2019,45.86,45.86,"218,799",47.18,46.68
5/20/2019,46.41,46.48,"327,481",47.5,46.59
5/21/2019,46.57,46.57,"156,934",47.65,47.27
5/22/2019,46.12,46.9,"154,255",47,46.23
5/23/2019,44.76,45.94,"151,813",45.94,44.86
5/24/2019,45.21,45.21,"140,120",46.3,46.15
5/28/2019,45.66,46.15,"281,723",46.67,45.7
5/29/2019,45.37,45.67,"115,813",46.08,45.78
5/30/2019,45.28,45.73,"84,440",45.99,45.58
5/31/2019,43.43,45.14,"143,673",45.24,43.55
6/3/2019,43.23,43.78,"218,135",44.3,43.9
6/4/2019,44.17,44.35,"193,261",44.88,44.79
6/5/2019,44.57,44.89,"162,916",45.1,45.02
6/6/2019,45.09,45.09,"239,427",46.06,45.62
6/7/2019,45.24,45.8,"113,758",45.9,45.66
6/10/2019,44.01,45.82,"136,261",46.07,44.08
6/11/2019,43.74,44.39,"126,599",44.48,44.15
6/12/2019,43.61,44.13,"120,775",44.38,44.17
6/13/2019,43.77,44.29,"212,916",44.79,44.67
6/14/2019,43.02,44.64,"141,412",44.64,43.74
6/17/2019,43.61,43.61,"170,061",44.3,44.18
6/18/2019,47.25,47.25,"470,426",51.18,50.54
6/19/2019,49.8,50.28,"313,561",51.2,50.04
6/20/2019,48.83,50.55,"177,830",50.55,49.32
6/21/2019,47.96,49.12,"233,464",49.2,48.33
6/24/2019,47.72,48.46,"131,469",48.88,47.75
6/25/2019,46.91,47.77,"185,021",47.87,46.99
6/26/2019,43.5,47,"404,167",47.21,43.6
6/27/2019,43.85,43.85,"210,548",45.52,45.02
6/28/2019,44.29,45.29,"296,884",45.29,44.67
7/1/2019,43.87,45.1,"219,904",45.16,44.38
7/2/2019,44.7,44.73,"368,992",47.27,47.01
7/3/2019,46.39,47.09,"477,369",47.97,46.83
7/5/2019,46.15,46.83,"136,113",47.2,47.04
7/8/2019,46.73,46.82,"184,633",47.49,47.37
7/9/2019,46.78,47.15,"148,793",47.43,46.96
7/10/2019,45.95,47.18,"114,432",47.87,46.45
7/11/2019,45.67,46.51,"139,296",46.51,45.73
7/12/2019,45.58,45.6,"140,839",46.75,46.47
7/15/2019,45.59,46.53,"182,617",46.53,45.79
7/16/2019,45.65,45.87,"220,205",46.85,46.8
7/17/2019,45.88,46.85,"208,211",47.36,46.7
7/18/2019,46.22,46.69,"134,421",47.12,47.1
7/19/2019,47.37,47.52,"528,900",49.01,47.89
7/22/2019,46.86,48.06,"419,112",48.31,47.03
7/23/2019,45.35,47.01,"243,388",47.01,46.64
7/24/2019,46.48,46.74,"237,501",48.6,48.06
7/25/2019,47.59,48.23,"163,862",48.51,47.83
7/26/2019,47.99,48.11,"257,294",49.53,49.2
7/29/2019,47.98,49.11,"187,563",49.51,48.5
7/30/2019,48.01,48.2,"165,180",48.72,48.35
7/31/2019,47.6,48.45,"208,528",48.75,47.89
8/1/2019,45.47,47.85,"232,292",48.63,46.08
8/2/2019,36.3,41.2,"1,005,817",42.27,38.2
8/5/2019,36.66,38.19,"434,398",38.66,37.88
8/6/2019,36.9,37.81,"354,208",38.29,37.43
8/7/2019,35.61,36.86,"313,272",36.89,36.3
8/8/2019,36.06,36.59,"287,388",37.26,36.95
8/9/2019,35.43,36.68,"301,187",36.91,35.81
8/12/2019,35,35.42,"250,584",35.49,35.14
8/13/2019,35,35.1,"230,606",35.72,35.17
8/14/2019,33.54,34.97,"227,308",34.97,34.42
8/15/2019,34,34.25,"287,983",34.85,34.08
8/16/2019,34.14,34.14,"321,113",35.48,34.97
8/19/2019,34.61,35.09,"257,661",35.47,35.12
8/20/2019,34.67,35,"265,020",35.32,34.68
8/21/2019,34.6,34.85,"219,401",35.59,35.5
8/22/2019,35.29,35.56,"281,727",36.39,35.54
